network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 14:36:57+01:00,1,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 15:38:10+01:00,1,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 16:39:28+01:00,1,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 17:35:09+01:00,1.5,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 18:42:59+01:00,3,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 19:35:16+01:00,1.5,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 20:38:07+01:00,1,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 21:35:11+01:00,0.5,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 22:38:09+01:00,0,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-13 23:41:26+01:00,0,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR510_00001_100,BE.CELINE-IRCEL.AQ,4.521130208130439,50.41643335993693,EPSG:4979,BETR510,STA-BETR510,45R510 - CHATELINEAU,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:19:20+01:00,2023-05-14 01:11:13+01:00,0,1,3,118,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 14:37:27+01:00,5,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 15:38:21+01:00,5,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 16:39:40+01:00,3,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 17:35:24+01:00,2,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 18:43:08+01:00,2.5,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 19:35:38+01:00,3,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 20:38:16+01:00,3,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 21:35:39+01:00,2.5,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 22:38:22+01:00,3,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-13 23:42:01+01:00,3,1,3,50,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR223_00001_100,BE.CELINE-IRCEL.AQ,5.5164047551429904,50.620670879237586,EPSG:4979,BETR223,STA-BETR223,43R223 - JEMEPPE,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:20:28+01:00,2023-05-14 01:11:34+01:00,2.5,1,3,50,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 14:37:47+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 15:38:34+01:00,0,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 16:39:53+01:00,1.5,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 17:35:35+01:00,1.5,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 18:43:19+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 19:36:20+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 20:38:26+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 21:36:03+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 22:38:35+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-13 23:42:30+01:00,3,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR822_00001_100,BE.CELINE-IRCEL.AQ,4.341279992464659,51.264289784645094,EPSG:4979,BETR822,STA-BETR822,42R822 - ANTWERPEN,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:21:42+01:00,2023-05-14 01:11:58+01:00,3,1,3,6,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 14:37:49+01:00,2.45,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 15:38:35+01:00,1.65,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 16:39:54+01:00,1.5,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 17:35:36+01:00,1.7,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 18:43:20+01:00,1.35,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 20:38:26+01:00,1.05,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 20:38:26+01:00,0.95,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 21:36:04+01:00,0.75,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 22:38:36+01:00,0.6,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-13 23:42:32+01:00,0.6,1,3,20,ug/m3
BE,NET-Brussels,Brussels,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR001_00001_100,BE.CELINE-IRCEL.AQ,4.334103679825119,50.84971051855545,EPSG:4979,BETR001,STA-BETR001,41R001 - MOLENBEEK,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:21:49+01:00,2023-05-14 01:12:00+01:00,0.65,1,3,20,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 14:38:00+01:00,18,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 15:38:43+01:00,18.5,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 16:40:01+01:00,2.5,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 18:43:27+01:00,4,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 18:43:27+01:00,9,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 19:36:43+01:00,7,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 20:38:33+01:00,9.5,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 21:36:16+01:00,6,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 22:38:42+01:00,25,1,3,13,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BELHB23_00001_100,BE.CELINE-IRCEL.AQ,4.34100506456284,51.170298038832094,EPSG:4979,BELHB23,STA-BELHB23,40HB23 - HOBOKEN,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:22:27+01:00,2023-05-13 23:42:51+01:00,4,1,3,13,ug/m3
